id,GT,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
s_20,5,0.72048,0.20000,0.80000,1.00000,0.50000,0.50000,0.25000,0.50000,0.02703,0.00000,0.14286,1.00000,0.00000
s_21,4,0.52533,0.25000,0.50000,1.00000,0.33333,1.00000,0.20000,0.25000,0.02703,0.00000,0.00000,0.00000,1.00000
s_22,4,0.28157,0.25000,0.35294,0.21458,0.10000,1.00000,0.06667,0.50000,0.03448,0.11111,0.33333,1.00000,1.00000
s_23,4,0.45021,0.25000,0.42857,0.23333,0.11688,1.00000,0.06667,0.05189,0.00000,0.11111,0.00000,0.00000,0.00000
s_24,1,0.23298,0.25000,0.26087,0.27177,0.00000,1.00000,0.04348,0.16582,0.07317,0.09091,0.33333,1.00000,0.00000
s_25,1,0.24130,0.33333,0.46154,0.50000,1.00000,1.00000,0.09091,0.50000,0.13043,0.11111,0.00000,0.00000,0.00000
s_26,3,0.74181,0.33333,0.69231,0.05903,0.50000,0.25000,0.18750,0.20000,0.14815,0.11111,0.12500,0.00000,0.00000
s_27,4,0.49855,0.20000,0.56000,1.00000,0.33333,1.00000,0.18519,0.33333,0.18182,0.23077,0.25000,1.00000,0.33333
s_28,4,0.38782,0.20000,0.50000,1.00000,0.00000,1.00000,0.21053,1.00000,0.02703,0.05882,0.33333,0.00000,0.00000
s_29,3,0.68892,0.20000,0.76923,1.00000,0.33333,0.50000,0.30769,0.25000,0.00000,0.11111,0.09091,0.00000,0.00000
s_30,4,0.55486,0.12500,0.57143,0.13333,0.07692,0.08083,0.30000,0.11795,0.20833,0.05882,0.00000,0.00000,0.60000
s_31,3,0.53660,0.33333,0.66667,1.00000,1.00000,1.00000,0.28571,0.50000,0.11111,0.09091,0.33333,1.00000,1.00000
s_32,3,0.43112,0.33333,0.56000,0.33590,0.00000,0.09091,0.20000,0.11500,0.19149,0.20000,0.14286,0.00000,0.00000
s_33,3,0.36756,0.25000,0.58333,0.21944,0.00000,0.00000,0.23529,0.09323,0.11111,0.07692,0.20000,1.00000,0.33333
s_34,5,0.76248,0.20000,0.84615,1.00000,0.33333,0.28704,0.21739,0.25000,0.02222,0.09091,0.00000,0.00000,0.00000
s_35,3,0.35343,0.50000,0.56000,0.29256,1.00000,1.00000,0.20000,1.00000,0.23404,0.12500,0.33333,0.33333,1.00000
s_36,2,0.23010,0.33333,0.50000,0.08667,0.09263,1.00000,0.06667,0.17619,0.16667,0.25000,0.33333,1.00000,0.00000
s_37,4,0.44878,0.10185,0.40000,1.00000,0.00000,1.00000,0.14286,0.50000,0.14286,0.20000,0.00000,0.00000,0.00000
s_38,4,0.36770,0.50000,0.55556,0.20730,0.00000,0.50000,0.18750,0.50000,0.11111,0.42857,0.00000,1.00000,0.00000
s_39,3,0.64733,0.50000,0.77778,0.00000,0.33333,1.00000,0.14815,0.50000,0.10638,0.55556,0.00000,0.33333,0.00000
s_40,3,0.47016,0.50000,0.45455,1.00000,0.00000,1.00000,0.12000,0.33333,0.20000,0.40000,0.09091,0.00000,0.20000
s_41,4,0.57274,0.33333,0.70588,1.00000,1.00000,1.00000,0.15000,1.00000,0.08571,0.33333,0.00000,1.00000,0.00000
s_42,2,0.20199,0.33333,0.40000,0.14541,1.00000,1.00000,0.15789,0.50000,0.07692,0.23077,0.00000,0.00000,0.00000
s_43,4,0.54544,0.25000,0.57143,0.18502,0.50000,0.50000,0.18750,0.25000,0.12727,0.15789,0.25000,0.00000,0.11111
s_44,4,0.51847,0.14286,0.48000,1.00000,0.07905,1.00000,0.16000,0.25000,0.05882,0.00000,0.11111,0.00000,1.00000
s_45,3,0.52530,0.25000,0.70000,1.00000,0.00000,1.00000,0.22222,0.12027,0.12821,0.00000,0.20000,0.00000,0.00000
s_46,3,0.43508,0.16667,0.52174,0.16579,1.00000,1.00000,0.09524,0.06007,0.00000,0.14286,0.14286,1.00000,0.00000
s_47,4,0.80452,0.25000,0.81481,1.00000,0.00000,1.00000,0.52381,0.33333,0.16667,0.20000,0.14286,0.00000,0.20000
s_48,3,0.40131,0.33333,0.57143,1.00000,1.00000,0.33333,0.28000,0.33333,0.14286,0.12500,0.25000,1.00000,0.00000
s_49,4,0.68890,0.33333,0.78571,1.00000,0.33333,1.00000,0.36364,0.33333,0.12500,0.08333,0.33333,0.00000,0.00000
s_50,4,0.68661,0.20000,0.68750,1.00000,0.50000,0.33333,0.26471,0.50000,0.01493,0.11111,0.00000,0.00000,0.14286
s_51,4,0.62263,0.50000,0.73684,0.18843,0.50000,0.18095,0.10526,0.50000,0.10000,0.07692,0.20000,0.20000,0.00000
s_52,3,0.71861,0.16667,0.80000,1.00000,0.00000,0.50000,0.28571,0.50000,0.05882,0.00000,0.20000,0.00000,0.00000
s_53,4,0.74177,0.25000,0.74074,1.00000,0.50000,1.00000,0.47619,0.50000,0.20000,0.29412,0.00000,0.00000,0.33333
s_54,2,0.30079,0.25000,0.50000,0.07543,0.03125,0.33333,0.04762,0.08160,0.05263,0.00000,0.20000,0.00000,0.20000
s_55,4,0.40589,0.14286,0.47619,0.15278,1.00000,0.30417,0.15000,0.08750,0.07317,0.14286,0.14286,0.00000,0.00000
s_56,3,0.39017,0.25000,0.50000,1.00000,0.33333,0.12772,0.20000,0.50000,0.00000,0.00000,0.14286,1.00000,0.00000
s_57,4,0.28945,0.20000,0.52174,1.00000,1.00000,1.00000,0.20000,0.50000,0.14286,0.16667,0.50000,1.00000,0.33333
s_58,5,0.29589,0.11111,0.48485,0.12500,0.50000,1.00000,0.12903,0.33333,0.01695,0.09091,0.09091,0.00000,0.33333
s_59,4,0.51874,0.25000,0.53333,1.00000,0.50000,0.50000,0.26087,0.25000,0.10204,0.07692,0.20000,0.33333,0.00000
s_60,1,0.25397,0.14286,0.48485,0.11960,0.00000,1.00000,0.16129,0.25000,0.09091,0.00000,0.27273,0.33333,0.20000
s_61,4,0.45638,0.20000,0.56250,0.18119,0.33333,0.50000,0.20690,0.33333,0.01818,0.00000,0.14286,1.00000,0.33333
s_62,2,0.52614,0.16667,0.62069,0.15527,1.00000,0.15368,0.26923,0.33333,0.06383,0.05263,0.14286,1.00000,0.33333
s_63,4,0.69271,0.20000,0.74286,1.00000,0.00000,1.00000,0.48148,0.33333,0.01961,0.05882,0.00000,0.00000,0.11111
s_64,2,0.52690,0.25000,0.40000,0.13333,0.09575,1.00000,0.00000,0.12494,0.16129,0.27273,0.00000,1.00000,0.00000
s_65,3,0.31126,0.25000,0.46154,0.15878,0.50000,0.04878,0.17391,0.05802,0.00000,0.12500,0.60000,0.00000,0.00000
s_66,3,0.70966,1.00000,0.84211,0.91667,0.25000,1.00000,0.25000,0.20000,0.02222,0.20000,0.11111,0.00000,0.00000
s_67,5,0.61684,0.11111,0.74074,0.15350,0.14119,0.12758,0.30435,0.50000,0.07317,0.05882,0.00000,1.00000,1.00000
s_68,3,0.44951,0.50000,0.60870,0.26018,1.00000,1.00000,0.25000,0.13874,0.17391,0.00000,0.33333,1.00000,1.00000
s_69,4,0.64390,0.33333,0.68750,0.14667,0.05734,0.50000,0.28571,0.50000,0.03571,0.00000,0.33333,0.00000,0.00000
s_70,4,0.52128,0.12500,0.68750,1.00000,0.50000,0.50000,0.28125,0.33333,0.08772,0.04348,0.00000,0.00000,0.33333
s_71,5,0.71170,0.33333,0.93333,1.00000,0.50000,1.00000,0.40741,0.50000,0.00000,0.00000,0.00000,1.00000,0.33333
s_72,3,0.48963,0.25000,0.50000,0.22908,1.00000,0.15259,0.18182,0.23749,0.16667,0.33333,0.33333,0.00000,0.20000
s_73,4,0.41348,0.16667,0.48649,0.10585,0.03571,0.50000,0.20000,0.33333,0.13043,0.23810,0.00000,0.00000,0.50000
s_74,3,0.45886,0.20000,0.58824,1.00000,1.00000,1.00000,0.18182,1.00000,0.16667,0.28571,0.20000,1.00000,0.33333
s_75,4,0.37337,0.20000,0.55556,1.00000,1.00000,0.85000,0.09524,1.00000,0.08108,0.00000,0.33333,0.00000,0.33333
s_76,5,0.62790,0.33333,0.71429,0.19051,0.50000,1.00000,0.12500,0.25000,0.03226,0.00000,0.14286,0.00000,0.00000
s_77,4,0.65135,0.16667,0.77778,1.00000,0.00000,1.00000,0.46429,0.16667,0.03571,0.04000,0.00000,0.00000,0.00000
s_78,4,0.38782,0.25000,0.57143,0.19663,1.00000,1.00000,0.23810,0.50000,0.14286,0.23077,0.14286,0.00000,0.00000
s_79,2,0.32532,1.00000,0.54545,0.26667,1.00000,1.00000,0.00000,1.00000,0.04762,0.14286,0.33333,0.00000,0.00000
s_80,3,0.45363,0.33333,0.63636,1.00000,0.50000,1.00000,0.26087,1.00000,0.02326,0.14286,0.00000,0.00000,0.50000
s_81,4,0.80163,0.33333,0.87500,1.00000,0.33333,0.50000,0.50000,0.16667,0.10000,0.09091,0.07692,0.00000,0.20000
s_82,3,0.53240,0.16667,0.59259,0.12917,0.33333,1.00000,0.34783,0.33333,0.13725,0.07692,0.33333,0.00000,0.33333
s_83,3,0.36848,1.00000,0.66667,0.15361,1.00000,1.00000,0.16667,0.50000,0.13333,0.20000,0.00000,0.00000,1.00000
s_84,3,0.36183,0.33333,0.52632,0.26333,1.00000,1.00000,0.18750,0.50000,0.09091,0.16667,0.20000,0.00000,1.00000
s_85,3,0.72041,0.50000,0.80000,1.00000,0.33333,1.00000,0.21875,0.25000,0.19231,0.33333,0.09091,1.00000,0.20000
s_86,3,0.43824,0.16667,0.61538,1.00000,0.00000,1.00000,0.31579,0.50000,0.02703,0.00000,0.20000,0.00000,0.20000
s_87,3,0.62289,0.33333,0.58824,0.14689,1.00000,1.00000,0.18750,1.00000,0.11111,0.09091,0.00000,0.00000,0.00000
s_88,3,0.55292,0.33333,0.55556,1.00000,0.00000,0.25000,0.26667,0.50000,0.12500,0.14286,0.20000,0.00000,0.00000
s_89,4,0.43420,0.20000,0.68571,0.22500,1.00000,1.00000,0.32143,0.33333,0.05263,0.13043,0.20000,0.00000,0.33333
s_90,4,0.45543,0.33333,0.63158,0.18678,0.07163,1.00000,0.06897,0.09637,0.21739,0.25000,0.25000,0.00000,0.33333
s_91,5,0.75388,0.20000,0.78571,0.27778,1.00000,1.00000,0.27586,0.50000,0.07692,0.04762,0.20000,0.00000,1.00000
s_92,4,0.48942,0.14286,0.62857,1.00000,0.13536,1.00000,0.25806,0.20000,0.00000,0.00000,0.00000,0.33333,0.20000
s_93,4,0.53013,0.50000,0.62500,0.06667,1.00000,1.00000,0.15789,0.50000,0.02857,0.00000,0.20000,0.00000,1.00000
s_94,3,0.49778,0.11111,0.61111,0.28973,0.10417,0.50000,0.20000,0.33333,0.05455,0.05263,0.14286,1.00000,0.33333
s_95,2,0.39509,0.33333,0.54545,0.25000,1.00000,0.08522,0.00000,0.12529,0.08333,0.00000,0.20000,0.00000,1.00000
s_96,4,0.66902,1.00000,0.66667,0.23155,0.50000,1.00000,0.12000,0.25000,0.02128,0.11111,0.00000,0.00000,0.00000
s_97,3,0.43957,1.00000,0.50000,0.14167,1.00000,1.00000,0.20000,0.50000,0.11765,0.50000,0.14286,1.00000,0.00000
s_98,3,0.53413,0.33333,0.54545,0.15285,0.00000,1.00000,0.15385,0.25000,0.06383,0.25000,0.50000,0.00000,0.42857
s_99,3,0.47863,0.25000,0.57143,0.28571,0.50000,0.16667,0.12500,0.50000,0.16667,0.11111,0.00000,0.00000,0.00000
s_100,4,0.72807,0.20000,0.81481,1.00000,0.33333,1.00000,0.28125,0.33333,0.10714,0.00000,0.23077,0.00000,0.00000
s_101,2,0.32082,0.33333,0.44444,0.10865,0.00000,0.09310,0.11111,1.00000,0.21429,0.14286,1.00000,1.00000,1.00000
s_102,2,0.31987,0.03638,0.48276,0.22520,0.00000,0.50000,0.04762,0.33333,0.13043,0.11111,0.20000,1.00000,1.00000
s_103,5,0.35059,0.50000,0.66667,0.19884,1.00000,1.00000,0.23077,0.50000,0.17241,0.14286,0.42857,1.00000,1.00000
s_104,3,0.47406,0.14286,0.50000,0.00000,1.00000,1.00000,0.22222,0.50000,0.14754,0.08333,0.20000,0.00000,0.50000
s_105,5,0.70694,0.25000,0.76923,1.00000,1.00000,1.00000,0.32143,0.50000,0.00000,0.05263,0.00000,0.00000,0.33333
s_106,3,0.43330,0.20000,0.66667,0.60000,0.00000,1.00000,0.37500,1.00000,0.16667,0.18182,0.00000,1.00000,0.00000
s_107,3,0.39694,0.16667,0.58065,0.00000,0.04762,0.33333,0.22727,0.33333,0.02439,0.00000,0.14286,0.00000,0.00000
s_108,3,0.47863,0.25000,0.60870,0.19084,0.00000,1.00000,0.23810,1.00000,0.14286,0.06667,0.33333,0.00000,0.33333
s_109,4,0.38656,0.20000,0.51852,0.21333,1.00000,0.33333,0.08696,0.06667,0.08333,0.05263,0.11111,0.00000,0.00000
s_110,4,0.80173,0.33333,0.71429,0.23235,0.33333,1.00000,0.02778,0.33333,0.07692,0.14286,0.00000,0.00000,0.00000
s_111,4,0.74374,0.14286,0.83871,1.00000,1.00000,1.00000,0.31250,0.33333,0.05085,0.00000,0.20000,0.00000,1.00000
s_112,4,0.50347,0.16667,0.72727,0.16120,1.00000,0.15673,0.16000,0.07714,0.02128,0.09091,0.33333,1.00000,0.00000
s_113,3,0.30261,0.50000,0.55556,0.32366,1.00000,1.00000,0.11111,0.24026,0.06250,0.07692,0.00000,1.00000,1.00000
s_114,3,0.40509,1.00000,0.46154,0.15000,1.00000,1.00000,0.04762,0.50000,0.21212,0.40000,0.14286,0.00000,0.00000
s_115,4,0.34485,0.11111,0.51429,0.18492,1.00000,0.12256,0.20833,0.06460,0.11538,0.13043,0.00000,0.33333,0.14286
s_116,5,0.48982,0.50000,0.61538,0.20556,1.00000,1.00000,0.14286,0.33333,0.04000,0.00000,0.00000,0.33333,0.00000
s_117,1,0.52034,0.33333,0.70968,0.91667,0.00000,1.00000,0.25000,0.50000,0.06897,0.00000,0.00000,0.00000,0.20000
s_118,3,0.51865,0.16667,0.52632,1.00000,1.00000,0.06250,0.10526,0.50000,0.00000,0.06667,0.33333,1.00000,0.50000
s_119,3,0.34692,0.33333,0.43478,0.30000,0.00000,1.00000,0.15789,1.00000,0.12500,0.14286,0.50000,0.00000,0.33333
s_120,4,0.39218,0.33333,0.50000,0.91667,0.50000,1.00000,0.20000,1.00000,0.10000,0.14286,0.20000,0.00000,0.00000
s_121,1,0.41876,0.25000,0.37500,0.14236,0.00000,1.00000,0.12500,0.11905,0.11765,0.09091,0.50000,0.00000,0.00000
s_122,4,0.62637,0.20000,0.72727,1.00000,1.00000,1.00000,0.34783,0.33333,0.00000,0.07692,0.14286,0.00000,0.00000
s_123,3,0.32249,0.20000,0.35294,0.20833,1.00000,1.00000,0.08333,0.41667,0.18519,0.33333,0.00000,1.00000,1.00000
s_124,3,0.38756,0.50000,0.54545,0.27435,0.00000,1.00000,0.09091,1.00000,0.13043,0.11111,0.00000,1.00000,1.00000
s_125,4,0.55164,0.05411,0.60000,0.35000,0.17845,1.00000,0.20000,0.21667,0.00000,0.12500,0.50000,0.00000,0.00000
s_126,5,0.33296,0.33333,0.46154,1.00000,1.00000,0.50000,0.14286,0.10048,0.07143,0.11111,0.00000,1.00000,0.00000
s_127,3,0.51213,0.16667,0.66667,0.20995,0.50000,0.33333,0.34483,0.25000,0.12000,0.10000,0.00000,0.00000,0.00000
s_128,4,0.49209,0.33333,0.80000,0.00000,1.00000,1.00000,0.20000,1.00000,0.02564,0.00000,0.50000,0.00000,0.00000
s_129,4,0.65952,0.09091,0.68966,1.00000,0.08582,1.00000,0.37500,0.50000,0.13208,0.18182,0.00000,0.00000,0.00000
s_130,2,0.29887,0.25000,0.31579,0.16750,0.07123,0.09091,0.11765,0.33333,0.08571,0.00000,0.33333,0.00000,0.00000
s_131,3,0.53307,0.14286,0.72727,1.00000,0.33333,1.00000,0.40909,0.33333,0.22222,0.09091,0.25000,1.00000,1.00000
s_132,4,0.52928,0.33333,0.78261,0.24048,0.25000,0.50000,0.21053,0.25000,0.12195,0.00000,0.00000,0.00000,0.14286
s_133,4,0.54313,0.20000,0.59259,0.19361,0.05000,0.08422,0.16667,0.25000,0.06977,0.20000,0.50000,1.00000,0.20000
s_134,5,0.87236,0.14286,0.94118,1.00000,0.50000,0.33333,0.48276,0.25000,0.00000,0.04000,0.11111,0.00000,0.00000
s_135,4,0.48774,0.25000,0.45455,0.24000,0.50000,0.21212,0.04348,0.50000,0.07317,0.20000,0.25000,0.33333,0.33333
s_136,3,0.43604,0.33333,0.50000,0.28718,1.00000,1.00000,0.09091,0.50000,0.09091,0.20000,0.00000,1.00000,1.00000
s_137,3,0.49659,0.33333,0.58333,1.00000,0.00000,1.00000,0.30000,0.50000,0.13636,0.17647,0.20000,0.00000,0.00000
s_138,3,0.45468,0.16667,0.51852,0.40417,0.00000,1.00000,0.19231,0.33333,0.18033,0.27273,0.11111,0.00000,0.20000
s_139,4,0.74362,0.33333,0.70588,0.06667,1.00000,1.00000,0.15000,0.50000,0.02703,0.00000,0.00000,0.00000,0.00000
s_140,2,0.61711,0.14286,0.53333,0.21254,0.00000,1.00000,0.19231,0.50000,0.01961,0.05882,0.00000,0.00000,1.00000
s_141,3,0.37654,0.12500,0.52174,1.00000,0.11135,1.00000,0.11765,0.50000,0.11111,0.22222,0.33333,0.00000,1.00000
s_142,3,0.36770,0.25000,0.58824,0.12222,1.00000,1.00000,0.23077,1.00000,0.14286,0.00000,0.50000,1.00000,1.00000
s_143,3,0.45085,0.11111,0.51429,0.29167,0.50000,0.01538,0.18182,0.20000,0.00000,0.04348,0.11111,1.00000,0.00000
s_144,4,0.50466,0.33333,0.68571,1.00000,1.00000,1.00000,0.21875,0.33333,0.06897,0.14286,0.14286,0.00000,0.00000
s_145,3,0.46683,0.14286,0.53846,0.20682,1.00000,1.00000,0.24000,0.33333,0.00000,0.14286,0.20000,0.33333,0.20000
s_146,2,0.31126,0.33333,0.48000,0.16667,0.00000,1.00000,0.20000,0.25000,0.05000,0.28571,0.11111,1.00000,1.00000
s_147,4,0.73296,0.10000,0.71429,1.00000,0.14214,0.50000,0.21875,0.33333,0.10714,0.04762,0.25000,0.00000,0.33333
s_148,4,0.44676,0.33333,0.72000,0.31667,1.00000,1.00000,0.16667,0.24883,0.16000,0.04762,0.60000,0.00000,1.00000
s_149,2,0.64686,0.16667,0.57143,1.00000,1.00000,1.00000,0.27586,1.00000,0.00000,0.05882,0.00000,0.33333,0.33333
s_150,4,0.56441,0.20000,0.64000,0.23333,0.09545,1.00000,0.27273,0.13333,0.04545,0.06667,0.33333,0.00000,0.20000
s_151,5,0.83305,0.20000,0.82353,1.00000,1.00000,1.00000,0.21053,1.00000,0.05882,0.00000,0.00000,0.00000,0.00000
s_152,4,0.52870,0.16667,0.75000,0.21527,0.06893,0.33333,0.25000,0.25000,0.14815,0.00000,0.42857,0.00000,0.00000
s_153,4,0.81340,0.20000,0.87500,1.00000,0.25000,1.00000,0.48148,0.50000,0.03704,0.05263,0.00000,0.00000,0.33333
s_154,5,0.92927,0.33333,0.96970,1.00000,0.00000,0.50000,0.50000,0.33333,0.01639,0.07692,0.00000,0.00000,0.00000
s_155,4,0.60298,0.14286,0.78261,0.18843,0.33333,1.00000,0.21053,0.33333,0.18182,0.06667,0.14286,1.00000,1.00000
s_156,3,0.33260,0.05677,0.43478,0.20430,1.00000,0.05000,0.18750,0.50000,0.09091,0.12500,0.20000,1.00000,0.00000
s_157,4,0.42466,1.00000,0.42857,1.00000,0.06008,1.00000,0.18750,1.00000,0.00000,0.14286,0.20000,0.00000,0.50000
s_158,4,0.47394,0.33333,0.53333,0.19714,0.06845,1.00000,0.21429,1.00000,0.07143,0.20000,0.00000,0.00000,0.00000
s_159,3,0.45503,0.25000,0.60000,1.00000,0.05075,0.50000,0.15385,0.33333,0.04167,0.08333,0.20000,0.00000,1.00000
s_160,2,0.30880,0.33333,0.42857,0.18843,0.00000,0.09495,0.05882,0.09873,0.08571,0.11111,0.00000,1.00000,0.00000
s_161,3,0.59200,0.25000,0.76190,1.00000,0.50000,1.00000,0.53333,0.50000,0.17647,0.33333,0.00000,0.00000,0.50000
s_162,2,0.54382,0.14286,0.55172,1.00000,0.33333,0.50000,0.25806,0.20000,0.01695,0.05263,0.11111,1.00000,0.00000
s_163,3,0.57562,0.03981,0.47059,1.00000,0.50000,0.10556,0.11765,0.50000,0.17949,0.20000,0.25000,0.00000,0.00000
s_164,4,0.58259,0.14286,0.70968,0.00000,0.00000,0.04577,0.35714,0.07567,0.00000,0.05882,0.00000,1.00000,0.20000
s_165,3,0.36802,0.50000,0.57143,0.12262,1.00000,1.00000,0.17647,0.33333,0.03030,0.50000,0.33333,1.00000,0.20000
s_166,3,0.59921,0.11111,0.64865,1.00000,1.00000,1.00000,0.24138,0.25000,0.06667,0.04762,0.09091,0.00000,0.00000
s_167,3,0.50316,0.33333,0.58333,1.00000,1.00000,0.13745,0.22727,0.50000,0.00000,0.06667,0.20000,0.00000,1.00000
s_168,4,0.73355,0.20000,0.58333,0.40417,0.50000,1.00000,0.25000,0.18360,0.16364,0.42857,0.14286,0.00000,0.20000
s_169,5,0.52142,0.11111,0.54054,1.00000,0.50000,0.50000,0.23529,0.33333,0.00000,0.00000,0.25000,0.00000,0.00000
s_170,3,0.43662,0.20000,0.51852,0.08910,0.50000,0.50000,0.22727,0.25000,0.02326,0.07692,0.00000,0.00000,0.00000
s_171,4,0.58017,0.25000,0.80000,0.15563,0.33333,0.50000,0.24242,0.25000,0.10345,0.00000,0.11111,0.00000,0.00000
s_172,4,0.38631,0.25000,0.54545,1.00000,1.00000,1.00000,0.31250,1.00000,0.16667,0.15789,0.00000,0.00000,1.00000
s_173,4,0.61541,0.20000,0.66667,1.00000,0.25000,0.33333,0.30000,0.25000,0.13636,0.16667,0.09091,0.00000,1.00000
s_174,5,0.55038,0.25000,0.63636,0.10455,0.00000,1.00000,0.30435,0.50000,0.13725,0.14286,0.00000,0.50000,0.33333
s_175,3,0.36140,0.33333,0.55556,0.16667,0.14286,1.00000,0.13333,0.25000,0.06667,0.11111,0.11111,0.00000,0.00000
s_176,4,0.46170,0.25000,0.57143,1.00000,1.00000,1.00000,0.21429,0.50000,0.03704,0.00000,0.00000,0.33333,1.00000
s_177,3,0.56814,0.16667,0.45455,0.25657,1.00000,1.00000,0.12000,0.10908,0.11628,0.07692,0.33333,0.00000,1.00000
s_178,4,0.67005,0.11111,0.74286,1.00000,0.00000,0.33333,0.36667,0.20000,0.03333,0.09091,0.00000,1.00000,0.33333
s_179,3,0.34858,0.10000,0.38095,0.00000,0.07692,1.00000,0.15000,0.33333,0.11628,0.06667,0.20000,0.00000,0.00000
s_180,3,0.57046,0.20000,0.57143,1.00000,1.00000,1.00000,0.18519,0.25000,0.15556,0.16667,0.20000,0.00000,0.00000
s_181,4,0.43330,1.00000,0.72727,0.13958,0.50000,1.00000,0.13333,0.50000,0.03448,1.00000,0.14286,0.00000,0.00000
s_182,2,0.61348,0.14286,0.43478,0.23810,0.09049,1.00000,0.19048,1.00000,0.16667,0.12500,0.00000,0.00000,0.50000
s_183,4,0.39244,0.50000,0.75000,0.18678,0.03333,1.00000,0.29412,0.33333,0.08571,0.20000,0.14286,0.00000,0.33333
s_184,4,0.48798,0.11111,0.62069,1.00000,0.33333,0.50000,0.25926,0.25000,0.01887,0.00000,0.00000,0.00000,0.00000
s_185,1,0.26352,0.25000,0.26087,0.20000,1.00000,1.00000,0.10000,0.10684,0.05000,0.07692,0.33333,1.00000,1.00000
s_186,3,0.56996,0.16667,0.68750,1.00000,0.50000,1.00000,0.31034,0.33333,0.01818,0.12500,0.33333,0.00000,0.00000
s_187,4,0.72679,0.12500,0.80000,1.00000,0.33333,1.00000,0.38462,0.33333,0.15254,0.33333,0.14286,1.00000,0.14286
s_188,4,0.47394,0.20000,0.62069,0.13265,0.33333,1.00000,0.26087,0.33333,0.04348,0.05263,0.14286,0.00000,1.00000
s_189,4,0.30880,0.33333,0.50000,0.26333,0.00000,1.00000,0.18750,0.11766,0.06250,0.28571,0.33333,0.00000,0.33333
s_190,2,0.27362,0.25000,0.32258,1.00000,1.00000,1.00000,0.14286,1.00000,0.01887,0.10000,0.50000,0.00000,1.00000
s_191,2,0.58033,0.16667,0.66667,0.19676,0.50000,1.00000,0.15000,1.00000,0.02564,0.16667,0.33333,0.00000,0.00000
s_192,4,0.36394,0.25000,0.63158,1.00000,0.09965,1.00000,0.07143,0.50000,0.14894,0.14286,0.33333,0.00000,0.60000
s_193,4,0.56860,0.25000,0.77778,1.00000,0.33333,1.00000,0.38889,0.33333,0.12821,0.09091,0.14286,0.00000,1.00000
s_194,2,0.31126,0.16667,0.43478,0.16961,0.20525,1.00000,0.14286,0.16794,0.09091,0.06667,0.00000,1.00000,1.00000
s_195,3,0.55473,0.33333,0.71429,1.00000,1.00000,1.00000,0.35714,1.00000,0.07143,0.11111,0.50000,0.33333,0.00000
